cohort,description,url
TCGA-LAML,Acute myeloid leukemia,https://tcga-xena-hub.s3.us-east-1.amazonaws.com/download/TCGA.LAML.sampleMap%2FHumanMethylation450.gz
TCGA-ACC,Adrenocortinal cancer,
TCGA-CHOL,Bile duct cancer,
TCGA-BLCA,Bladder cancer,
TCGA-BRCA,Breast cancer,https://tcga-xena-hub.s3.us-east-1.amazonaws.com/download/TCGA.BRCA.sampleMap%2FHumanMethylation450.gz
TCGA-CESC,Cervical cancer,
TCGA-COAD,Colon cancer,
TCGA-UCEC,Endometrioid cancer,
TCGA-ESCA,Esophageal cancer,
TCGA-GBM,Glioblastoma,
TCGA-HNSC,Head and neck cancer,
TCGA-KICH,Kidney chromophobe,
TCGA-KIRC,Kidney clear cell carcinoma,
TCGA-KIRP,Kidney papillary cell carcinoma,
TCGA-DLBC,Large B-cell lymphoma,
TCGA-LIHC,Liver cancer,
TCGA-LGG,Lower grade glioma,
TCGA-LUAD,Lung adenocarcinoma,
TCGA-LUSC,Lung squamous cell carcinoma,
TCGA-SKCM,Melanoma,
TCGA-MESO,Mesothelioma,
TCGA-UVM,Ocular melanomas,
TCGA-OV,Ovarian cancer,
TCGA-PAAD,Pancreatic cancer,
TCGA-PCPG,Pheochromocytoma & Paraganglioma,
TCGA-PRAD,Prostate cancer,
TCGA-READ,Rectal cancer,
TCGA-SARC,Sarcoma,
TCGA-STAD,Stomach cancer,
TCGA-TGCT,Testicular cancer,
TCGA-THYM,Thymoma,
TCGA-THCA,Thyroid cancer,
TCGA-UCS,Uterine carcinosarcoma,
